7.5039 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
47.1992 	EXP 	fixation: autoDraw = True
48.1990 	EXP 	fixation: autoDraw = False
48.1990 	EXP 	grating: autoDraw = True
48.4992 	EXP 	grating: autoDraw = False
49.0848 	EXP 	New trial (rep=10, index=0): None
49.0858 	DATA 	Keypress: down
49.0992 	EXP 	fixation: autoDraw = False
49.0992 	EXP 	grating: autoDraw = False
49.0992 	EXP 	grating: ori = 0.0
49.0992 	EXP 	fixation: autoDraw = True
50.0991 	EXP 	fixation: autoDraw = False
50.0991 	EXP 	grating: autoDraw = True
50.3992 	EXP 	grating: autoDraw = False
51.1679 	EXP 	New trial (rep=11, index=0): None
51.1689 	DATA 	Keypress: down
51.1823 	EXP 	fixation: autoDraw = False
51.1823 	EXP 	grating: autoDraw = False
51.1823 	EXP 	grating: ori = 0.0
51.1823 	EXP 	fixation: autoDraw = True
52.1825 	EXP 	fixation: autoDraw = False
52.1825 	EXP 	grating: autoDraw = True
52.4823 	EXP 	grating: autoDraw = False
52.7846 	EXP 	New trial (rep=12, index=0): None
52.7857 	DATA 	Keypress: up
52.7992 	EXP 	fixation: autoDraw = False
52.7992 	EXP 	grating: autoDraw = False
52.7992 	EXP 	grating: ori = -5.0
52.7992 	EXP 	fixation: autoDraw = True
53.7989 	EXP 	fixation: autoDraw = False
53.7989 	EXP 	grating: autoDraw = True
54.0989 	EXP 	grating: autoDraw = False
54.4014 	EXP 	New trial (rep=13, index=0): None
54.4024 	DATA 	Keypress: down
54.4156 	EXP 	fixation: autoDraw = False
54.4156 	EXP 	grating: autoDraw = False
54.4156 	EXP 	grating: ori = 0.0
54.4156 	EXP 	fixation: autoDraw = True
55.4157 	EXP 	fixation: autoDraw = False
55.4157 	EXP 	grating: autoDraw = True
55.7158 	EXP 	grating: autoDraw = False
56.2843 	EXP 	New trial (rep=14, index=0): None
56.2853 	DATA 	Keypress: up
56.2991 	EXP 	fixation: autoDraw = False
56.2991 	EXP 	grating: autoDraw = False
56.2991 	EXP 	grating: ori = 3.0
56.2991 	EXP 	fixation: autoDraw = True
57.2992 	EXP 	fixation: autoDraw = False
57.2992 	EXP 	grating: autoDraw = True
57.5992 	EXP 	grating: autoDraw = False
58.0186 	EXP 	New trial (rep=15, index=0): None
58.0199 	DATA 	Keypress: down
58.0325 	EXP 	fixation: autoDraw = False
58.0325 	EXP 	grating: autoDraw = False
58.0325 	EXP 	grating: ori = -4.0
58.0325 	EXP 	fixation: autoDraw = True
59.0322 	EXP 	fixation: autoDraw = False
59.0322 	EXP 	grating: autoDraw = True
59.3323 	EXP 	grating: autoDraw = False
60.0179 	EXP 	New trial (rep=16, index=0): None
60.0189 	DATA 	Keypress: down
60.0323 	EXP 	fixation: autoDraw = False
60.0323 	EXP 	grating: autoDraw = False
60.0323 	EXP 	grating: ori = 0.0
60.0323 	EXP 	fixation: autoDraw = True
61.0323 	EXP 	fixation: autoDraw = False
61.0323 	EXP 	grating: autoDraw = True
61.3324 	EXP 	grating: autoDraw = False
61.8030 	EXP 	New trial (rep=17, index=0): None
61.8043 	DATA 	Keypress: up
61.8161 	EXP 	fixation: autoDraw = False
61.8161 	EXP 	grating: autoDraw = False
61.8161 	EXP 	grating: ori = 0.0
61.8161 	EXP 	fixation: autoDraw = True
62.8156 	EXP 	fixation: autoDraw = False
62.8156 	EXP 	grating: autoDraw = True
63.1154 	EXP 	grating: autoDraw = False
63.6678 	EXP 	New trial (rep=18, index=0): None
63.6689 	DATA 	Keypress: up
63.6820 	EXP 	fixation: autoDraw = False
63.6820 	EXP 	grating: autoDraw = False
63.6820 	EXP 	grating: ori = 0.0
63.6820 	EXP 	fixation: autoDraw = True
64.6821 	EXP 	fixation: autoDraw = False
64.6821 	EXP 	grating: autoDraw = True
64.9822 	EXP 	grating: autoDraw = False
65.4179 	EXP 	New trial (rep=19, index=0): None
65.4189 	DATA 	Keypress: up
65.4323 	EXP 	fixation: autoDraw = False
65.4323 	EXP 	grating: autoDraw = False
65.4323 	EXP 	grating: ori = 0.0
65.4323 	EXP 	fixation: autoDraw = True
66.4323 	EXP 	fixation: autoDraw = False
66.4323 	EXP 	grating: autoDraw = True
66.7320 	EXP 	grating: autoDraw = False
67.0513 	EXP 	New trial (rep=20, index=0): None
67.0524 	DATA 	Keypress: down
67.0655 	EXP 	fixation: autoDraw = False
67.0655 	EXP 	grating: autoDraw = False
67.0655 	EXP 	grating: ori = 0.0
67.0655 	EXP 	fixation: autoDraw = True
68.0655 	EXP 	fixation: autoDraw = False
68.0655 	EXP 	grating: autoDraw = True
68.3656 	EXP 	grating: autoDraw = False
68.9846 	EXP 	New trial (rep=21, index=0): None
68.9856 	DATA 	Keypress: down
68.9987 	EXP 	fixation: autoDraw = False
68.9987 	EXP 	grating: autoDraw = False
68.9987 	EXP 	grating: ori = 0.0
68.9987 	EXP 	fixation: autoDraw = True
69.9988 	EXP 	fixation: autoDraw = False
69.9988 	EXP 	grating: autoDraw = True
70.2988 	EXP 	grating: autoDraw = False
70.6512 	EXP 	New trial (rep=22, index=0): None
70.6522 	DATA 	Keypress: down
70.6655 	EXP 	fixation: autoDraw = False
70.6655 	EXP 	grating: autoDraw = False
70.6655 	EXP 	grating: ori = 0.0
70.6655 	EXP 	fixation: autoDraw = True
71.6655 	EXP 	fixation: autoDraw = False
71.6655 	EXP 	grating: autoDraw = True
71.9654 	EXP 	grating: autoDraw = False
72.3675 	EXP 	New trial (rep=23, index=0): None
72.3686 	DATA 	Keypress: down
72.3819 	EXP 	fixation: autoDraw = False
72.3819 	EXP 	grating: autoDraw = False
72.3819 	EXP 	grating: ori = 1.0
72.3819 	EXP 	fixation: autoDraw = True
73.3819 	EXP 	fixation: autoDraw = False
73.3819 	EXP 	grating: autoDraw = True
73.6821 	EXP 	grating: autoDraw = False
73.9349 	EXP 	New trial (rep=24, index=0): None
73.9359 	DATA 	Keypress: up
73.9491 	EXP 	fixation: autoDraw = False
73.9491 	EXP 	grating: autoDraw = False
73.9491 	EXP 	grating: ori = 4.0
73.9491 	EXP 	fixation: autoDraw = True
74.9485 	EXP 	fixation: autoDraw = False
74.9485 	EXP 	grating: autoDraw = True
75.2488 	EXP 	grating: autoDraw = False
75.8013 	EXP 	New trial (rep=25, index=0): None
75.8023 	DATA 	Keypress: down
75.8154 	EXP 	fixation: autoDraw = False
75.8154 	EXP 	grating: autoDraw = False
75.8154 	EXP 	grating: ori = 3.0
75.8154 	EXP 	fixation: autoDraw = True
76.8154 	EXP 	fixation: autoDraw = False
76.8154 	EXP 	grating: autoDraw = True
77.1155 	EXP 	grating: autoDraw = False
77.6673 	EXP 	New trial (rep=26, index=0): None
77.6684 	DATA 	Keypress: down
77.6820 	EXP 	fixation: autoDraw = False
77.6820 	EXP 	grating: autoDraw = False
77.6820 	EXP 	grating: ori = 0.0
77.6820 	EXP 	fixation: autoDraw = True
78.6818 	EXP 	fixation: autoDraw = False
78.6818 	EXP 	grating: autoDraw = True
78.9818 	EXP 	grating: autoDraw = False
79.4342 	EXP 	New trial (rep=27, index=0): None
79.4353 	DATA 	Keypress: down
79.4486 	EXP 	fixation: autoDraw = False
79.4486 	EXP 	grating: autoDraw = False
79.4486 	EXP 	grating: ori = -4.0
79.4486 	EXP 	fixation: autoDraw = True
80.4486 	EXP 	fixation: autoDraw = False
80.4486 	EXP 	grating: autoDraw = True
80.7487 	EXP 	grating: autoDraw = False
81.0674 	EXP 	New trial (rep=28, index=0): None
81.0684 	DATA 	Keypress: down
81.0819 	EXP 	fixation: autoDraw = False
81.0819 	EXP 	grating: autoDraw = False
81.0819 	EXP 	grating: ori = -4.0
81.0819 	EXP 	fixation: autoDraw = True
82.0819 	EXP 	fixation: autoDraw = False
82.0819 	EXP 	grating: autoDraw = True
82.3819 	EXP 	grating: autoDraw = False
82.7006 	EXP 	New trial (rep=29, index=0): None
82.7016 	DATA 	Keypress: down
82.7153 	EXP 	fixation: autoDraw = False
82.7153 	EXP 	grating: autoDraw = False
82.7153 	EXP 	grating: ori = -3.0
82.7153 	EXP 	fixation: autoDraw = True
83.7152 	EXP 	fixation: autoDraw = False
83.7152 	EXP 	grating: autoDraw = True
84.0150 	EXP 	grating: autoDraw = False
84.4010 	EXP 	New trial (rep=30, index=0): None
84.4021 	DATA 	Keypress: down
84.4151 	EXP 	fixation: autoDraw = False
84.4151 	EXP 	grating: autoDraw = False
84.4151 	EXP 	grating: ori = 2.0
84.4151 	EXP 	fixation: autoDraw = True
85.4150 	EXP 	fixation: autoDraw = False
85.4150 	EXP 	grating: autoDraw = True
85.7152 	EXP 	grating: autoDraw = False
86.2342 	EXP 	New trial (rep=31, index=0): None
86.2352 	DATA 	Keypress: up
86.2483 	EXP 	fixation: autoDraw = False
86.2483 	EXP 	grating: autoDraw = False
86.2483 	EXP 	grating: ori = -5.0
86.2483 	EXP 	fixation: autoDraw = True
87.2485 	EXP 	fixation: autoDraw = False
87.2485 	EXP 	grating: autoDraw = True
87.5483 	EXP 	grating: autoDraw = False
87.9339 	EXP 	New trial (rep=32, index=0): None
87.9350 	DATA 	Keypress: down
87.9484 	EXP 	fixation: autoDraw = False
87.9484 	EXP 	grating: autoDraw = False
87.9484 	EXP 	grating: ori = 0.0
87.9484 	EXP 	fixation: autoDraw = True
